,electrophile,nucleophile,catalyst,base,miser_area_count,max,relative_count
1084,e7,n13,RockPhos Pd G3 44,BTTP 28,242.0,1043.0000001,0.23202301052425472
1080,e7,n13,RockPhos Pd G3 44,DBU 24,333.0,1043.0000001,0.3192713326635406
1081,e7,n13,RockPhos Pd G3 44,MTBD 25,349.0,1043.0000001,0.33461169699572274
1085,e7,n13,RockPhos Pd G3 44,P1-t-octyl S17,229.0,1043.0000001,0.21955896450435675
1087,e7,n13,RockPhos Pd G3 44,P2-t-Bu S18,249.0,1043.0000001,0.2387344199195844
1086,e7,n13,RockPhos Pd G3 44,P2Et 29,228.0,1043.0000001,0.21860019173359535
1059,e7,n13,Xphos Pd G3 36,BEMP 27,253.0,1043.0000001,0.24256951100262994
1058,e7,n13,Xphos Pd G3 36,BTMG 26,241.0,1043.0000001,0.23106423775349336
1060,e7,n13,Xphos Pd G3 36,BTTP 28,250.0,1043.0000001,0.23969319269034578
1056,e7,n13,Xphos Pd G3 36,DBU 24,228.0,1043.0000001,0.21860019173359535
1057,e7,n13,Xphos Pd G3 36,MTBD 25,260.0,1043.0000001,0.24928092039795963
1061,e7,n13,Xphos Pd G3 36,P1-t-octyl S17,250.0,1043.0000001,0.23969319269034578
1063,e7,n13,Xphos Pd G3 36,P2-t-Bu S18,237.0,1043.0000001,0.2272291466704478
1062,e7,n13,Xphos Pd G3 36,P2Et 29,255.0,1043.0000001,0.2444870565441527
1075,e7,n13,tBuBrettPhos Pd G3 43,BEMP 27,417.0,1043.0000001,0.39980824540749677
1074,e7,n13,tBuBrettPhos Pd G3 43,BTMG 26,463.0,1043.0000001,0.4439117928625204
1076,e7,n13,tBuBrettPhos Pd G3 43,BTTP 28,393.0,1043.0000001,0.3767976989092236
1072,e7,n13,tBuBrettPhos Pd G3 43,DBU 24,446.0,1043.0000001,0.4276126557595769
1073,e7,n13,tBuBrettPhos Pd G3 43,MTBD 25,475.0,1043.0000001,0.455417066111657
1077,e7,n13,tBuBrettPhos Pd G3 43,P1-t-octyl S17,265.0,1043.0000001,0.25407478425176655
1079,e7,n13,tBuBrettPhos Pd G3 43,P2-t-Bu S18,358.0,1043.0000001,0.3432406519325752
1078,e7,n13,tBuBrettPhos Pd G3 43,P2Et 29,245.0,1043.0000001,0.23489932883653888
1067,e7,n13,tBuXPHOS Pd G3 42,BEMP 27,306.0,1043.0000001,0.2933844678529833
1066,e7,n13,tBuXPHOS Pd G3 42,BTMG 26,449.0,1043.0000001,0.43048897407186104
1068,e7,n13,tBuXPHOS Pd G3 42,BTTP 28,408.0,1043.0000001,0.3911792904706443
1064,e7,n13,tBuXPHOS Pd G3 42,DBU 24,259.0,1043.0000001,0.24832214762719823
1065,e7,n13,tBuXPHOS Pd G3 42,MTBD 25,393.0,1043.0000001,0.3767976989092236
1069,e7,n13,tBuXPHOS Pd G3 42,P1-t-octyl S17,262.0,1043.0000001,0.2511984659394824
1071,e7,n13,tBuXPHOS Pd G3 42,P2-t-Bu S18,297.0,1043.0000001,0.2847555129161308
