ligand_name,ligand_smiles,electrophile_name,electrophile_id,electrophile_smiles,nucleophile_name,nucleophile_id,nucleophile_smiles,product_smiles,yield
tBPh-CPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,92.83
PPhMe2,CP(C)c1ccccc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,92.91
Cy-BippyPhos,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,90.82
PCy3 HBF4,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,80.36
CgMe-PPh,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,88.24
PPh3,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,83.9
X-Phos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,79.09
PnBu3 HBF4,CCCCP(CCCC)CCCC,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,89.2
A-caPhos,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,65.05
BrettPhos,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,11.47
CX-FBu,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,3.4
CX-PICy,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,63.86
Cy-DavePhos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,65.86
Cy-vBRIDP,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,63.32
Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,66.61
MeO-KITPHOS,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)C2c3ccccc3C1c1ccccc12,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,45.26
P(o-Anis)3,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,8.6
Et-PhenCar-Phos,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,61.02
JackiePhos,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,67.22
"P(3,5-CF3-Ph)3",FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,54.43
P(fur)3,c1coc(P(c2ccco2)c2ccco2)c1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,57.96
