,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
360,amine361,COC(=O)c1ccc(cc1)C(=O)c2c3CCNCc3sc2NC(=O)N4CCCC4,Ir,0.01,2626.5
361,amine362,OC(=O)[C@H](CNC(=O)c1cc2cc(CCC3CCNCC3)sc2s1)NS(=O)(=O)c4cccnc4,Ir,0.01,5260.7
362,amine363,OC[C@H]1O[C@H](OC2[C@H](O)CO[C@@](O)(CN3CCNCC3)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Ir,0.02,0.0
363,amine364,CC(C)(C)N1C[C@H]([C@@H](C1)c2ccc(F)cc2F)C(=O)N3C[C@@H]4C[C@H]3CN4,Ir,0.76,1935830.3
364,amine365,COc1ccc(cc1)n2nc(cc2NC(=O)c3cnn4cccnc34)C5CCNCC5,Ir,0.23,525758.9
365,amine366,Cc1cc(Nc2nccc(OC3CCNCC3)n2)cc(c1)c4cnc(s4)C5(O)CCC5,Ir,0.04,738301.6
366,amine367,CC(C)(C)OC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CNCCN2C(=O)N(c3ccccc3)c4ccccc4,Ir,0.0,9147.8
367,amine368,C[C@H](Nc1nccc(n1)n2cc(nc2c3ccccc3)C4CCNCC4)c5ccccc5,Ir,1.28,2171390.0
368,amine369,Cc1cc(Nc2cc(ccn2)C(F)F)nc(c1)c3cn(C[C@H]4CNCCO4)nn3,Ir,0.02,0.0
369,amine370,CN1C(=O)C(=Cc2ccccc12)CN(CC3(CCOCC3)N4CCNCC4)C(=O)C5CCCCC5,Ir,0.06,676265.3
370,amine371,CC(C)C[C@H](Nc1snc(C)c1c2ccc(cc2)N3CCNCC3)C(=O)NCC#N,Ir,0.01,244233.0
371,amine372,Cc1onc(C)c1CCC(CC(=O)O)NC(=O)CNC(=O)CCCC2CCNCC2,Ir,0.05,150210.7
372,amine373,CC1(CCCNC1)C(=O)N(CC(=O)Nc2ccc3C[C@]4(Cc3c2)C(=O)Nc5ncccc45)Cc6cc(F)cc(F)c6,Ir,0.07,170756.2
373,amine374,CC(C)(C)OC(=O)N[C@](C)(Cc1ccccc1)c2oc(CN3CCNCC3=O)nn2,Ir,0.01,473125.0
374,amine375,CC(C)(C)OC(=O)CNC(=O)[C@@H]1CNCCN1C(=O)N(c2ccccc2)c3ccccc3,Ir,0.03,389103.7
