,electrophile_id,ligand_name,yield
528,s23,PPh3,57.48
529,s24,Cy-JohnPhos,94.84
530,s24,Ph-SPhos,28.7
531,s24,Cy-BippyPhos,76.17
532,s24,MeO-KITPHOS,70.22
533,s24,MePhos,66.46
534,s24,Kwong,75.68
535,s24,Cy-PhenCar-Phos,67.34
536,s24,Ph-XPhos,25.63
537,s24,VPhos,51.46
538,s24,Ph-DavePhos,60.63
539,s24,PPhtBu2,0.0
540,s24,P(p-Anis)3,49.77
541,s24,A-paPhos,30.35
542,s24,PXy3,10.71
543,s24,PMe3 HBF4,74.1
544,s24,CX-PCy,100.0
545,s24,CX-FBu,30.47
546,s24,PPh2Cy,62.25
547,s24,P(p-F-Ph)3,54.1
548,s24,PCy3 HBF4,17.03
549,s24,Cy-vBRIDP,49.39
550,s24,P(o-Anis)3,50.02
551,s24,PPh3,19.71
552,s25,Cy-JohnPhos,71.09
553,s25,Ph-SPhos,32.25
554,s25,Cy-BippyPhos,75.83
555,s25,MeO-KITPHOS,78.49
556,s25,MePhos,47.14
557,s25,Kwong,72.11
558,s25,Cy-PhenCar-Phos,69.35
559,s25,Ph-XPhos,54.22
560,s25,VPhos,44.18
561,s25,Ph-DavePhos,48.22
562,s25,PPhtBu2,0.0
563,s25,P(p-Anis)3,72.12
564,s25,A-paPhos,51.12
565,s25,PXy3,37.61
566,s25,PMe3 HBF4,66.92
567,s25,CX-PCy,83.46
568,s25,CX-FBu,66.13
569,s25,PPh2Cy,87.76
570,s25,P(p-F-Ph)3,69.85
571,s25,PCy3 HBF4,16.31
572,s25,Cy-vBRIDP,50.42
573,s25,P(o-Anis)3,79.31
574,s25,PPh3,39.93
575,s26,Cy-JohnPhos,57.22
576,s26,Ph-SPhos,38.35
577,s26,Cy-BippyPhos,34.26
578,s26,MeO-KITPHOS,41.34
579,s26,MePhos,51.79
580,s26,Kwong,51.07
581,s26,Cy-PhenCar-Phos,38.49
582,s26,Ph-XPhos,35.42
583,s26,VPhos,30.08
584,s26,Ph-DavePhos,42.46
585,s26,PPhtBu2,36.65
586,s26,P(p-Anis)3,82.11
587,s26,A-paPhos,81.93
588,s26,PXy3,87.88
589,s26,PMe3 HBF4,18.8
590,s26,CX-PCy,61.2
591,s26,CX-FBu,40.99
592,s26,PPh2Cy,75.48
593,s26,P(p-F-Ph)3,94.14
594,s26,PCy3 HBF4,39.87
595,s26,Cy-vBRIDP,69.97
596,s26,P(o-Anis)3,34.96
597,s26,PPh3,83.34
598,s27,Cy-JohnPhos,13.23
599,s27,Ph-SPhos,0.0
600,s27,Cy-BippyPhos,0.0
601,s27,MeO-KITPHOS,0.0
602,s27,MePhos,7.56
603,s27,Kwong,0.0
604,s27,Cy-PhenCar-Phos,0.0
605,s27,Ph-XPhos,7.35
606,s27,VPhos,3.96
607,s27,Ph-DavePhos,1.21
608,s27,PPhtBu2,0.0
609,s27,P(p-Anis)3,11.04
610,s27,A-paPhos,11.45
611,s27,PXy3,13.35
612,s27,PMe3 HBF4,18.04
613,s27,CX-PCy,24.81
614,s27,CX-FBu,0.0
615,s27,PPh2Cy,14.49
616,s27,P(p-F-Ph)3,17.36
617,s27,PCy3 HBF4,16.53
618,s27,Cy-vBRIDP,8.98
619,s27,P(o-Anis)3,11.79
620,s27,PPh3,15.23
621,s28,Cy-JohnPhos,57.59
622,s28,Ph-SPhos,48.98
623,s28,Cy-BippyPhos,53.08
624,s28,MeO-KITPHOS,59.42
625,s28,MePhos,52.33
626,s28,Kwong,56.07
627,s28,Cy-PhenCar-Phos,57.3
628,s28,Ph-XPhos,52.77
629,s28,VPhos,56.99
630,s28,Ph-DavePhos,54.51
631,s28,PPhtBu2,14.18
632,s28,P(p-Anis)3,63.13
633,s28,A-paPhos,63.27
634,s28,PXy3,52.82
635,s28,PMe3 HBF4,16.11
