,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
159,bromide160,CC(=O)N1CCC[C@H]1c2nc3ccc(Br)cc3n2Cc4ccccc4,Cu,1.03,3264594.7
160,bromide161,Cc1cc(Br)ccc1CN2C3=C(COC3)C(=C(C(=O)NCC(=O)OC(C)(C)C)C2=O)O,Cu,0.02,1267608.8
161,bromide162,[R]N([R])S(=O)(=O)c1cc(Cl)c(Br)cc1F,Cu,0.0,263774.8
162,bromide163,C[C@@H](NC(=O)C1=CC(=O)NC(=N1)Cc2ccc(Br)cc2)c3ccc(cc3)C(F)(F)F,Cu,0.0,99500.9
163,bromide164,FC(F)(F)c1ccc(Br)c(c1SCc2ccccc2)c3nnn[nH]3,Cu,0.0,397967.8
164,bromide165,COC(=O)N[C@@H](C(C)C)C(=O)N1C[C@H](F)C[C@H]1c2ncc([nH]2)c3ccc(Br)cc3,Cu,0.0,1835.8
165,bromide166,OC[C@H]1O[C@@H](Oc2c[nH]c3ccc(Br)c(Cl)c23)[C@H](O)[C@@H](O)[C@H]1O,Cu,0.0,18259.8
166,bromide167,[R]C1N(CCc2cc(OC)c(Oc3ccc(Br)c(F)c3)cc12)C(=O)OC(C)(C)C,Cu,0.0,245954.2
167,bromide168,C[C@@H](OC(=O)Nc1c(C)noc1c2ccc(Br)cc2)c3ccccc3,Cu,0.06,1371918.1
168,bromide169,C[C@@H]1[C@H](N(N=C1C(F)(F)F)c2ccc(Br)cc2)C(=O)N3[C@@H](COC3=O)c4ccccc4,Cu,0.45,2176525.7
169,bromide170,Brc1cncc(c1)c2ccccc2,Cu,1.31,4186314.3
170,bromide171,CCOC(=O)C1=C2c3ccccc3C(=O)c4c(Br)cc(C)c(NC1=O)c24,Cu,0.4,531289.8
171,bromide172,[R]NC(=O)c1nc(N([R])S(=O)(=O)[R])c2cc(Br)cnc2c1O,Cu,0.0,50463.0
172,bromide173,[R]C(O)(Cc1nc(CC(C)(C)C)c(Br)[nH]1)C(F)(F)F,Cu,0.0,31882.2
173,bromide174,FC(F)(F)Oc1ccc(cc1)S(=O)(=O)N2Cc3ccc(nc3Nc4ccc(Br)cc24)C(F)(F)F,Cu,0.05,265970.9
174,bromide175,COc1cc2CCN(C(=O)OC(C)(C)C)C(C)(CC(=O)Nc3nccs3)c2cc1Br,Cu,0.08,2690558.2
175,bromide176,[R]C(O)C1=C([R])N(Cc2ccc(Br)cn2)C=C(C(=O)OCC)C1=O,Cu,0.07,2706036.1
176,bromide177,[R]Oc1cc(OC(F)(F)F)ccc1Br,Cu,0.0,25785.6
177,bromide178,COc1cnc(cn1)C(=O)Nc2cc(c(F)cc2Br)[C@]3(C)CS(=O)(=O)C(C)(C)C(=N)N3,Cu,0.03,143165.4
178,bromide179,[R]c1c([R])c2nnc([R])n2nc1OCc3ccccc3Br,Cu,0.0,40967.1
179,bromide180,[R]c1cc(Br)c(N2C[C@H](O)[C@@H](O)[C@@H]2C)n3c([R])c([R])nc13,Cu,0.0,1640.9
180,bromide181,[R]c1cnn2cc(Br)cnc12,Cu,0.12,784389.6
181,bromide182,COC(=O)c1cnc(NCc2ccc3CC4(Cc3c2)N(C)C(=O)NC4=O)c(Br)c1,Cu,0.01,180563.6
182,bromide183,Brc1ccccc1C(=O)N2CCN(CC2)c3nnc(s3)c4nn[nH]n4,Cu,0.02,19025.9
183,bromide184,C[C@@H](NC(=O)C(C)(C)Oc1ccc(cn1)C(F)(F)F)[C@@](O)(Cc2ccc(Cl)cc2)c3cccc(Br)c3,Cu,0.01,1260998.1
184,bromide185,Cc1c(nn(c2ccc(Cl)cc2Cl)c1c3ccc(Br)cc3)C(=O)NN4CCCCC4,Cu,0.05,422354.3
185,bromide186,[R]c1nnc(c2ccccc2Br)n1[R],Cu,0.11,262810.7
186,bromide187,COC(=O)CC(C)(C)CCOc1cccc(\C=C\c2ccc3ccc(Br)cc3n2)c1,Cu,0.79,3578689.9
187,bromide188,CC1(C)C[C@](O)(CC[C@@H]1C(=O)NCCCN2CCCC2=O)c3ncc(Br)s3,Cu,0.01,82791.0
188,bromide189,CCOC(=O)C1=CN(Cc2cc3OCOc3cc2Br)c4cc5OCOc5cc4C1=O,Cu,0.0,632728.4
189,bromide190,COC(=O)c1nc(nc(OC)c1OC(=O)C(C)(C)C)c2sccc2Br,Cu,0.07,302840.4
190,bromide191,CC(C)(C)OC(=O)NC(CCNc1nc(nc2cnccc12)c3cccc(Br)c3)C(F)F,Cu,0.11,39651.6
191,bromide192,Cc1cc(Nc2nccc(n2)C(F)(F)F)cc(c1)c3cnc(s3)[C@@](C)(O)c4ccc(Br)nc4,Cu,0.26,1976702.2
0,bromide1,Brc1ccccn1,Ir,0.17,1288791.2
1,bromide2,Brc1cccnc1,Ir,0.78,3608008.0
2,bromide3,Brc1cncnc1,Ir,0.31,3077242.0
3,bromide4,Cn1cccc1Br,Ir,0.02,32788.0
4,bromide5,Cn1cc(Br)cn1,Ir,0.01,15688.5
5,bromide6,Cn1cnc(Br)c1,Ir,0.02,20346.9
6,bromide7,Cc1[nH]cnc1Br,Ir,0.02,17765.3
7,bromide8,Cc1n[nH]cc1Br,Ir,0.01,15252.0
8,bromide9,Cc1nc(Br)n[nH]1,Ir,0.03,232492.3
9,bromide10,Cn1cc(Br)nn1,Ir,0.02,488372.0
10,bromide11,Cc1onc(Br)n1,Ir,0.04,791936.0
11,bromide12,Cn1nnnc1Br,Ir,0.15,2747060.0
12,bromide13,Brc1cccs1,Ir,0.03,221621.9
13,bromide14,Brc1ccsc1,Ir,0.05,180522.7
14,bromide15,Brc1cnsc1,Ir,0.06,1402740.3
15,bromide16,Brc1cscn1,Ir,0.04,315847.5
16,bromide17,Brc1cnsn1,Ir,0.07,87550.0
17,bromide18,Cc1cc(Br)ccn1,Ir,3.73,5987760.2
18,bromide19,Cc1cccc(Br)n1,Ir,0.04,2207647.9
19,bromide20,Cc1ncccc1Br,Ir,0.03,2540842.2
20,bromide21,Cc1ncc(Br)cn1,Ir,0.02,665.2
21,bromide22,Cc1nccnc1Br,Ir,0.02,1946287.7
22,bromide23,BrC1=CNC(=O)C=C1,Ir,0.02,6140.4
23,bromide24,Oc1cccc(Br)n1,Ir,0.03,238257.0
24,bromide25,Oc1ncccc1Br,Ir,0.05,51689.4
25,bromide26,Brc1c[nH]c(C=O)c1,Ir,0.01,1103.6
26,bromide27,Brc1nc[nH]c1C=O,Ir,0.02,77141.7
27,bromide28,Brc1cc(on1)C=O,Ir,0.02,1099.1
28,bromide29,Cc1nsc(Br)n1,Ir,0.05,2531972.2
29,bromide30,Brc1cccnc1C#N,Ir,0.29,2437478.8
30,bromide31,Brc1ccc(C=O)nc1,Ir,0.01,743441.6
31,bromide32,COc1cc(Br)ccn1,Ir,1.14,4227490.0
32,bromide33,COc1ccc(Br)cn1,Ir,0.48,1876821.9
33,bromide34,COc1cccc(Br)n1,Ir,0.11,342455.0
34,bromide35,COc1ncccc1Br,Ir,0.02,2356082.9
35,bromide36,CNc1cnc(Br)cn1,Ir,0.03,14590.0
36,bromide37,[O-][N+](=O)c1n[nH]cc1Br,Ir,0.01,612.1
37,bromide38,Brc1cnc2[nH]ccc2c1,Ir,0.01,43327.6
