,electrophile_id,ligand_name,yield
518,s23,A-paPhos,39.34
519,s23,PXy3,46.21
520,s23,PMe3 HBF4,35.83
521,s23,CX-PCy,48.87
522,s23,CX-FBu,27.73
523,s23,PPh2Cy,36.46
524,s23,P(p-F-Ph)3,44.77
525,s23,PCy3 HBF4,8.12
526,s23,Cy-vBRIDP,39.42
527,s23,P(o-Anis)3,40.06
528,s23,PPh3,46.08
529,s24,Cy-JohnPhos,80.44
530,s24,Ph-SPhos,31.31
531,s24,Cy-BippyPhos,37.77
532,s24,MeO-KITPHOS,45.05
533,s24,MePhos,62.87
534,s24,Kwong,35.26
535,s24,Cy-PhenCar-Phos,50.93
536,s24,Ph-XPhos,24.67
537,s24,VPhos,64.97
538,s24,Ph-DavePhos,30.78
539,s24,PPhtBu2,0.0
540,s24,P(p-Anis)3,55.52
541,s24,A-paPhos,42.84
542,s24,PXy3,8.89
543,s24,PMe3 HBF4,15.84
544,s24,CX-PCy,52.53
545,s24,CX-FBu,15.39
546,s24,PPh2Cy,49.17
547,s24,P(p-F-Ph)3,56.21
548,s24,PCy3 HBF4,6.55
549,s24,Cy-vBRIDP,52.66
550,s24,P(o-Anis)3,24.56
551,s24,PPh3,27.36
552,s25,Cy-JohnPhos,73.75
553,s25,Ph-SPhos,47.63
554,s25,Cy-BippyPhos,59.95
555,s25,MeO-KITPHOS,73.05
556,s25,MePhos,60.78
557,s25,Kwong,56.33
558,s25,Cy-PhenCar-Phos,69.06
559,s25,Ph-XPhos,60.99
560,s25,VPhos,73.09
561,s25,Ph-DavePhos,53.93
562,s25,PPhtBu2,0.0
563,s25,P(p-Anis)3,78.4
564,s25,A-paPhos,56.31
565,s25,PXy3,61.51
566,s25,PMe3 HBF4,48.48
567,s25,CX-PCy,76.19
568,s25,CX-FBu,46.97
569,s25,PPh2Cy,80.79
570,s25,P(p-F-Ph)3,71.85
571,s25,PCy3 HBF4,0.0
572,s25,Cy-vBRIDP,50.35
573,s25,P(o-Anis)3,62.07
574,s25,PPh3,57.73
575,s26,Cy-JohnPhos,31.23
576,s26,Ph-SPhos,22.45
577,s26,Cy-BippyPhos,12.32
578,s26,MeO-KITPHOS,19.23
579,s26,MePhos,25.75
580,s26,Kwong,12.14
581,s26,Cy-PhenCar-Phos,13.66
582,s26,Ph-XPhos,14.01
583,s26,VPhos,11.62
584,s26,Ph-DavePhos,29.66
585,s26,PPhtBu2,12.22
586,s26,P(p-Anis)3,67.05
587,s26,A-paPhos,72.37
588,s26,PXy3,65.99
589,s26,PMe3 HBF4,38.52
590,s26,CX-PCy,31.57
591,s26,CX-FBu,33.78
592,s26,PPh2Cy,70.27
593,s26,P(p-F-Ph)3,20.49
594,s26,PCy3 HBF4,17.55
595,s26,Cy-vBRIDP,26.09
596,s26,P(o-Anis)3,29.59
597,s26,PPh3,50.37
598,s27,Cy-JohnPhos,3.85
599,s27,Ph-SPhos,0.0
600,s27,Cy-BippyPhos,2.94
601,s27,MeO-KITPHOS,2.14
602,s27,MePhos,2.99
603,s27,Kwong,2.7
604,s27,Cy-PhenCar-Phos,0.0
605,s27,Ph-XPhos,2.65
606,s27,VPhos,2.05
607,s27,Ph-DavePhos,2.65
608,s27,PPhtBu2,2.3
609,s27,P(p-Anis)3,4.12
610,s27,A-paPhos,3.52
611,s27,PXy3,3.85
612,s27,PMe3 HBF4,3.16
613,s27,CX-PCy,4.2
614,s27,CX-FBu,2.52
615,s27,PPh2Cy,4.93
616,s27,P(p-F-Ph)3,4.46
617,s27,PCy3 HBF4,5.55
618,s27,Cy-vBRIDP,2.98
619,s27,P(o-Anis)3,3.09
620,s27,PPh3,4.21
621,s28,Cy-JohnPhos,57.28
622,s28,Ph-SPhos,34.77
623,s28,Cy-BippyPhos,32.66
624,s28,MeO-KITPHOS,45.05
625,s28,MePhos,48.55
626,s28,Kwong,35.16
627,s28,Cy-PhenCar-Phos,40.66
628,s28,Ph-XPhos,31.26
629,s28,VPhos,44.94
630,s28,Ph-DavePhos,41.27
631,s28,PPhtBu2,10.08
632,s28,P(p-Anis)3,53.43
633,s28,A-paPhos,55.58
634,s28,PXy3,49.85
635,s28,PMe3 HBF4,10.09
636,s28,CX-PCy,47.42
637,s28,CX-FBu,23.5
638,s28,PPh2Cy,52.84
639,s28,P(p-F-Ph)3,52.54
640,s28,PCy3 HBF4,10.36
641,s28,Cy-vBRIDP,28.24
642,s28,P(o-Anis)3,19.65
643,s28,PPh3,52.39
644,s29,Cy-JohnPhos,69.34
645,s29,Ph-SPhos,25.67
646,s29,Cy-BippyPhos,43.08
647,s29,MeO-KITPHOS,53.96
648,s29,MePhos,62.46
649,s29,Kwong,40.82
650,s29,Cy-PhenCar-Phos,62.26
651,s29,Ph-XPhos,13.64
652,s29,VPhos,71.88
653,s29,Ph-DavePhos,19.65
654,s29,PPhtBu2,8.75
655,s29,P(p-Anis)3,29.89
656,s29,A-paPhos,25.28
657,s29,PXy3,24.75
658,s29,PMe3 HBF4,7.31
659,s29,CX-PCy,35.08
660,s29,CX-FBu,26.02
661,s29,PPh2Cy,49.35
662,s29,P(p-F-Ph)3,48.63
663,s29,PCy3 HBF4,5.74
664,s29,Cy-vBRIDP,24.77
665,s29,P(o-Anis)3,13.91
666,s29,PPh3,22.32
667,s30,Cy-JohnPhos,66.11
668,s30,Ph-SPhos,24.65
669,s30,Cy-BippyPhos,37.72
670,s30,MeO-KITPHOS,45.55
671,s30,MePhos,59.07
672,s30,Kwong,33.84
673,s30,Cy-PhenCar-Phos,56.04
674,s30,Ph-XPhos,15.33
675,s30,VPhos,68.04
676,s30,Ph-DavePhos,19.45
677,s30,PPhtBu2,5.8
678,s30,P(p-Anis)3,35.18
679,s30,A-paPhos,27.96
680,s30,PXy3,29.69
681,s30,PMe3 HBF4,4.05
682,s30,CX-PCy,36.2
683,s30,CX-FBu,22.81
684,s30,PPh2Cy,54.24
685,s30,P(p-F-Ph)3,38.34
686,s30,PCy3 HBF4,6.5
687,s30,Cy-vBRIDP,16.79
688,s30,P(o-Anis)3,15.05
689,s30,PPh3,33.28
690,s31,Cy-JohnPhos,91.324488664007
691,s31,Ph-SPhos,77.73677435049139
692,s31,Cy-BippyPhos,61.72462099834582
693,s31,MeO-KITPHOS,88.85481755376082
694,s31,MePhos,80.48688430475819
695,s31,Kwong,68.90747397100321
696,s31,Cy-PhenCar-Phos,91.08023547727936
697,s31,Ph-XPhos,68.54561739807336
698,s31,VPhos,91.05309623430962
699,s31,Ph-DavePhos,60.032941519898806
700,s31,PPhtBu2,24.163908728228083
701,s31,P(p-Anis)3,91.5958810937044
702,s31,A-paPhos,93.22423567188868
703,s31,PXy3,84.57586357886544
704,s31,PMe3 HBF4,25.07759657487594
705,s31,CX-PCy,88.25775420842658
706,s31,CX-FBu,56.93906782134864
707,s31,PPh2Cy,92.22008368200837
708,s31,P(p-F-Ph)3,90.37461516006616
709,s31,PCy3 HBF4,27.33015374136421
710,s31,Cy-vBRIDP,32.12475333268464
711,s31,P(o-Anis)3,27.42061788459668
712,s31,PPh3,95.34109662352829
713,s32,Cy-JohnPhos,94.1805964715766
714,s32,Ph-SPhos,87.62641977037244
715,s32,Cy-BippyPhos,86.30382805936712
716,s32,MeO-KITPHOS,93.77892047045646
717,s32,MePhos,82.87488658639036
718,s32,Kwong,80.58239428731447
719,s32,Cy-PhenCar-Phos,83.65864463735647
720,s32,Ph-XPhos,81.67965555866704
721,s32,VPhos,68.16962615513862
722,s32,Ph-DavePhos,88.26322318678241
723,s32,PPhtBu2,30.03
724,s32,P(p-Anis)3,96.12039764771772
725,s32,A-paPhos,95.8754732567908
726,s32,PXy3,93.5046051526183
727,s32,PMe3 HBF4,36.80950714085691
728,s32,CX-PCy,92.16241949033883
729,s32,CX-FBu,69.30607532903949
730,s32,PPh2Cy,98.36390506860825
731,s32,P(p-F-Ph)3,100.0
732,s32,PCy3 HBF4,53.21944133295996
733,s32,Cy-vBRIDP,44.08866003920471
734,s32,P(o-Anis)3,77.99599271912629
735,s32,PPh3,96.01263091570988
736,s33,Cy-JohnPhos,84.4
737,s33,Ph-SPhos,29.73
738,s33,Cy-BippyPhos,47.51
739,s33,MeO-KITPHOS,67.38
740,s33,MePhos,85.41
741,s33,Kwong,58.53
742,s33,Cy-PhenCar-Phos,68.53
743,s33,Ph-XPhos,34.33
744,s33,VPhos,55.37
745,s33,Ph-DavePhos,63.05
746,s33,PPhtBu2,20.79
747,s33,P(p-Anis)3,78.78
748,s33,A-paPhos,89.16
749,s33,PXy3,97.15
750,s33,PMe3 HBF4,23.36
751,s33,CX-PCy,57.87
752,s33,CX-FBu,19.56
753,s33,PPh2Cy,93.6
754,s33,P(p-F-Ph)3,88.61
755,s33,PCy3 HBF4,23.26
756,s33,Cy-vBRIDP,64.54
757,s33,P(o-Anis)3,44.59
758,s33,PPh3,88.1
