ligand,id,can_smiles,smiles,formula,mw,atomcount,merckid,cas_pr3,cas_pr3_hx,cas_conj_acid,SIGMA STRUCTURE_ID,SIGMA CAT_NO,Fey-LKB (Paper)
"PtBu2(2OMe,5CF3-Ph)",1139.0,COc1ccc(C(F)(F)F)cc1P(C(C)(C)C)C(C)(C)C,CC(C)(C)P(C(C)(C)C)C1=C(OC)C=CC(C(F)(F)F)=C1,C16H24F3OP,320.0,45.0,,2242947-85-7,,,,,
PAd2CH2CH2OMe,1140.0,COCCP(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,COCCP([C@@]12C[C@H]3C[C@H](C[C@H](C3)C2)C1)[C@@]45C[C@H]6C[C@H](C[C@H](C6)C5)C4,C23H37OP,361.0,62.0,,791782-42-8,714951-91-4 (HBr),,,,
PMe2ArXyl2,1141.0,Cc1cccc(C)c1-c1cccc(-c2c(C)cccc2C)c1P(C)C,CP(C1=C(C2=C(C=CC=C2C)C)C=CC=C1C3=C(C=CC=C3C)C)C,C24H27P,346.0,52.0,,1778677-39-6,,,,,
PMe2ArDipp2,1142.0,CC(C)c1cccc(C(C)C)c1-c1cccc(-c2c(C(C)C)cccc2C(C)C)c1P(C)C,CP(C1=C(C2=C(C=CC=C2C(C)C)C(C)C)C=CC=C1C3=C(C=CC=C3C(C)C)C(C)C)C,C32H43P,459.0,76.0,,1818209-00-5,,,,,
NMe2DavePhos,1143.0,CN(C)c1ccccc1-c1ccccc1P(N(C)C)N(C)C,CN(C)C1=C(C(C=CC=C2)=C2P(N(C)C)N(C)C)C=CC=C1,C18H26N3P,315.0,48.0,,not on scifinder,,,,,
EtDavePhos,1144.0,CCP(CC)c1ccccc1-c1ccccc1N(C)C,CN(C)C1=C(C(C=CC=C2)=C2P(CC)CC)C=CC=C1,C18H24NP,285.0,44.0,,1966159-13-6,,,,,
PCy2(Ph_vinyl),1145.0,C(=C\P(C1CCCCC1)C1CCCCC1)\c1ccccc1,P(/C=C\C1=CC=CC=C1)(C2CCCCC2)C3CCCCC3,C20H29P,300.0,50.0,,1966159-24-9,,,,,
PCy2CH2CH2Ph,1146.0,c1ccc(CCP(C2CCCCC2)C2CCCCC2)cc1,P(CCC1=CC=CC=C1)(C2CCCCC2)C3CCCCC3,C20H31P,302.0,52.0,,307933-31-9,,,,,
PCy2(Ph2vinyl),1147.0,C(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,P(/C=C(C1=CC=CC=C1)\C2=CC=CC=C2)(C3CCCCC3)C4CCCCC4,C26H33P,377.0,60.0,,1966159-40-9,,,,,
PCy2(1Ph-2Nap),1148.0,c1ccc(-c2c(P(C3CCCCC3)C3CCCCC3)ccc3ccccc23)cc1,P(C1=C(C(C=CC=C2)=C2C=C1)C3=CC=CC=C3)(C4CCCCC4)C5CCCCC5,C28H33P,401.0,62.0,,1966159-45-4,,,,,
Cy-iPrvBRIDP,1149.0,CC(C)C(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CC(C)/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)/C4=CC=CC=C4,C29H39P,419.0,69.0,,384842-31-3,,,,,
Cy-EtvBRIDP,1150.0,CCC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,CC/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)/C4=CC=CC=C4,C28H37P,405.0,66.0,,1966159-52-3,,,,,
Cy-vBRIDP(oOMe)2,1151.0,COc1ccccc1C(=C(C)P(C1CCCCC1)C1CCCCC1)c1ccccc1OC,C/C(P(C1CCCCC1)C2CCCCC2)=C(C3=C(OC)C=CC=C3)/C4=C(OC)C=CC=C4,C29H39O2P,451.0,71.0,,1966159-55-6,,,,,
PCy2(1Ph-(H2)2Nap),1152.0,c1ccc(C2=C(P(C3CCCCC3)C3CCCCC3)CCc3ccccc32)cc1,P(C1=C(C(C=CC=C2)=C2CC1)C3=CC=CC=C3)(C4CCCCC4)C5CCCCC5,C28H35P,403.0,64.0,,1966159-58-9,,,,,
PCy2(1(oOMePh)-(H2)2Nap),1153.0,COc1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)CCc2ccccc21,COC1=CC=CC=C1C(C(C=CC=C2)=C2CC3)=C3P(C4CCCCC4)C5CCCCC5,C29H37OP,433.0,68.0,,1966159-61-4,,,,,
PCy2(1(oCF3Ph)-(H2)2Nap),1154.0,FC(F)(F)c1ccccc1C1=C(P(C2CCCCC2)C2CCCCC2)CCc2ccccc21,FC(C1=CC=CC=C1C(C(C=CC=C2)=C2CC3)=C3P(C4CCCCC4)C5CCCCC5)(F)F,C29H34F3P,471.0,67.0,,1966159-64-7,,,,,
PCy2(2Ph-4-CF3-Ph),1155.0,FC(F)(F)c1ccc(P(C2CCCCC2)C2CCCCC2)c(-c2ccccc2)c1,FC(C(C=C1)=CC(C2=CC=CC=C2)=C1P(C3CCCCC3)C4CCCCC4)(F)F,C25H30F3P,418.0,59.0,,not on scifinder,,,,,
PCy2(2(oCF3Ph-4-CF3-Ph),1156.0,FC(F)(F)c1ccc(P(C2CCCCC2)C2CCCCC2)c(-c2ccccc2C(F)(F)F)c1,FC(C1=C(C(C=C(C(F)(F)F)C=C2)=C2P(C3CCCCC3)C4CCCCC4)C=CC=C1)(F)F,C26H29F6P,486.0,62.0,,not on scifinder,,,,,
PCy2(2Ph-4-OMe-Ph),1157.0,COc1ccc(P(C2CCCCC2)C2CCCCC2)c(-c2ccccc2)c1,COC(C=C1)=CC(C2=CC=CC=C2)=C1P(C3CCCCC3)C4CCCCC4,C25H33OP,381.0,60.0,,not on scifinder,,,,,
PCy2(2(oOMePh-4-OMe-Ph),1158.0,COc1ccc(P(C2CCCCC2)C2CCCCC2)c(-c2ccccc2OC)c1,COC(C=C1)=CC(C2=C(OC)C=CC=C2)=C1P(C3CCCCC3)C4CCCCC4,C26H35O2P,411.0,64.0,,not on scifinder,,,,,
PCy2(2(oOMePh-4-CF3-Ph),1159.0,COc1ccccc1-c1cc(C(F)(F)F)ccc1P(C1CCCCC1)C1CCCCC1,FC(C(C=C1)=CC(C2=C(OC)C=CC=C2)=C1P(C3CCCCC3)C4CCCCC4)(F)F,C26H32F3OP,449.0,63.0,,not on scifinder,,,,,
PCy2(2(oCF3Ph-4-OMe-Ph),1160.0,COc1ccc(P(C2CCCCC2)C2CCCCC2)c(-c2ccccc2C(F)(F)F)c1,FC(C1=C(C(C=C(OC)C=C2)=C2P(C3CCCCC3)C4CCCCC4)C=CC=C1)(F)F,C26H32F3OP,449.0,63.0,,not on scifinder,,,,,
PCy2(2(oCF3Ph-Ph),1161.0,FC(F)(F)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,FC(C1=C(C(C=CC=C2)=C2P(C3CCCCC3)C4CCCCC4)C=CC=C1)(F)F,C25H30F3P,418.0,59.0,,not on scifinder,,,,,
Cy-vBRIDP(oCF3)1,1162.0,C/C(=C(\c1ccccc1)c1ccccc1C(F)(F)F)P(C1CCCCC1)C1CCCCC1,C/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)/C4=C(C(F)(F)F)C=CC=C4,C28H34F3P,459.0,66.0,,not on scifinder,,,,,
Cy-vBRIDP(oOMe)1,1163.0,COc1ccccc1/C(=C(/C)P(C1CCCCC1)C1CCCCC1)c1ccccc1,C/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)/C4=C(OC)C=CC=C4,C28H37OP,421.0,67.0,,not on scifinder,,,,,
P(3-5-di-CF3-Ph)2(3-5-(2-4-6-Me-Ph)2-Ph),1164.0,Cc1cc(C)c(-c2cc(-c3c(C)cc(C)cc3C)cc(P(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c2)c(C)c1,Cc1cc(C)c(-c2cc(-c3c(C)cc(C)cc3C)cc(P(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c2)c(C)c1,C40H31F12P,771.0,84.0,,not on scifinder,,,,,
P(p-CN-Ph)2(3-5-(2-4-6-Me3-Ph)2-Ph),1165.0,Cc1cc(C)c(-c2cc(-c3c(C)cc(C)cc3C)cc(P(c3ccc(C#N)cc3)c3ccc(C#N)cc3)c2)c(C)c1,Cc1cc(C)c(-c2cc(-c3c(C)cc(C)cc3C)cc(P(c3ccc(C#N)cc3)c3ccc(C#N)cc3)c2)c(C)c1,C38H33N2P,549.0,74.0,,not on scifinder,,,,,
P(O-(p-Cl-Ph))(4-CO2-CCTMS-Ph)2,1166.0,C[Si](C)(C)CCOC(=O)c1ccc(P(Oc2ccc(Cl)cc2)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)cc1,C[Si](C)(C)CCOC(=O)c1ccc(P(Oc2ccc(Cl)cc2)c2ccc(C(=O)OCC[Si](C)(C)C)cc2)cc1,C30H38ClO5PSi2,601.0,77.0,,not on scifinder,,,,,
P(O-(p-Cl-Ph))(4-CO2Me-Ph)2,1167.0,COC(=O)c1ccc(P(Oc2ccc(Cl)cc2)c2ccc(C(=O)OC)cc2)cc1,COC(c1ccc(P(c2ccc(C(OC)=O)cc2)Oc3ccc(Cl)cc3)cc1)=O,C22H18ClO5P,429.0,47.0,,not on scifinder,,,,,
P(3-5-F2-Ph)2(4-carb-Ph),1168.0,Fc1cc(F)cc(P(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2cc(F)cc(F)c2)c1,Fc1cc(F)cc(P(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2cc(F)cc(F)c2)c1,C30H18F4NP,499.0,54.0,,not on scifinder,,,,,
P(3-CF3-Ph)2(4-carb-Ph),1169.0,FC(F)(F)c1cccc(P(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2cccc(C(F)(F)F)c2)c1,FC(F)(F)c1cccc(P(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2cccc(C(F)(F)F)c2)c1,C32H20F6NP,563.0,60.0,,not on scifinder,,,,,
P(O-(2-4-tBu2-Ph))2(4-CO2Me-Ph),1170.0,COC(=O)c1ccc(P(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)cc1,CC(C)(c1cc(C(C)(C)C)c(OP(c2ccc(C(OC)=O)cc2)Oc3c(C(C)(C)C)cc(C(C)(C)C)cc3)cc1)C,C36H49O4P,577.0,90.0,,not on scifinder,,,,,
P(4-CO2Me-Ph)2(O-(4-F-Ph)),1171.0,COC(=O)c1ccc(P(Oc2ccc(F)cc2)c2ccc(C(=O)OC)cc2)cc1,COC(c1ccc(P(c2ccc(C(OC)=O)cc2)Oc3ccc(F)cc3)cc1)=O,C22H18FO5P,412.0,47.0,,not on scifinder,,,,,
P(O-(2-4-tBu2-Ph))2(4-CO2Et-Ph),1172.0,CCOC(=O)c1ccc(P(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)cc1,CCOC(=O)c1ccc(P(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)cc1,C37H51O4P,591.0,93.0,,not on scifinder,,,,,
P(C6F5)2(3-5-(2-4-6-Me-Ph)2-Ph),1173.0,Cc1cc(C)c(-c2cc(-c3c(C)cc(C)cc3C)cc(P(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2)c(C)c1,Cc1cc(C)c(-c2cc(-c3c(C)cc(C)cc3C)cc(P(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2)c(C)c1,C36H25F10P,679.0,72.0,,not on scifinder,,,,,
P(4-CO2Me-Ph)2(Oph),1174.0,COC(=O)c1ccc(P(Oc2ccccc2)c2ccc(C(=O)OC)cc2)cc1,COC(c1ccc(P(c2ccc(C(OC)=O)cc2)Oc3ccccc3)cc1)=O,C22H19O5P,394.0,47.0,,not on scifinder,,,,,
P(O-(2-4-tBu2-Ph))2(4-CO2Me-Ph),1175.0,COC(=O)c1ccc(P(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)cc1,COC(=O)c1ccc(P(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)cc1,C36H49O4P,577.0,90.0,,not on scifinder,,,,,
P(4-CO2Me-Ph)2(O-(2-Me-Ph)),1176.0,COC(=O)c1ccc(P(Oc2ccccc2C)c2ccc(C(=O)OC)cc2)cc1,Cc1c(OP(c2ccc(C(OC)=O)cc2)c3ccc(C(OC)=O)cc3)cccc1,C23H21O5P,408.0,50.0,,not on scifinder,,,,,
P(3-5-CF3-Ph)(diPh)2,1177.0,FC(F)(F)c1cc(P(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)cc(C(F)(F)F)c1,FC(F)(F)c1cc(P(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)cc(C(F)(F)F)c1,C32H21F6P,550.0,60.0,,not on scifinder,,,,,
P(p-CF3-Ph)2(3-5-tBu2-4-OMe-Ph),1178.0,COc1c(C(C)(C)C)cc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1C(C)(C)C,COc1c(C(C)(C)C)cc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1C(C)(C)C,C29H31F6OP,541.0,68.0,,not on scifinder,,,,,
P(O-(2-4-tBu2-Ph))(4-CO2Me-Ph)2,1179.0,COC(=O)c1ccc(P(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c2ccc(C(=O)OC)cc2)cc1,COC(=O)c1ccc(P(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c2ccc(C(=O)OC)cc2)cc1,C30H35O5P,507.0,71.0,,not on scifinder,,,,,
P(diPh)2(O-(p-CF3-Ph)),1180.0,FC(F)(F)c1ccc(OP(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)cc1,FC(F)(F)c1ccc(OP(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)cc1,C31H22F3OP,498.0,58.0,,not on scifinder,,,,,
P(3-5-di-CF3-Ph)2(Nap)2,1181.0,FC(F)(F)c1cc(P(c2ccc3ccccc3c2)c2ccc3ccccc3c2)cc(C(F)(F)F)c1,FC(F)(F)c1cc(P(c2ccc3ccccc3c2)c2ccc3ccccc3c2)cc(C(F)(F)F)c1,C28H17F6P,498.0,52.0,,not on scifinder,,,,,
P(p-CF3-Ph)2(3-5-iPr2-Ph),1182.0,CC(C)c1cc(C(C)C)cc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c1,CC(C)c1cc(C(C)C)cc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c1,C26H25F6P,482.0,58.0,,not on scifinder,,,,,
P(O-(2-4-tBu2-Ph))2(diPh),1183.0,CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c2ccc(-c3ccccc3)cc2)c(C(C)(C)C)c1,CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c2ccc(-c3ccccc3)cc2)c(C(C)(C)C)c1,C40H51O2P,595.0,94.0,,91362-37-7,,,,,
P(p-CF3-Ph)2(3-5-tBu2-Ph),1184.0,CC(C)(C)c1cc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc(C(C)(C)C)c1,CC(C)(C)c1cc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc(C(C)(C)C)c1,C28H29F6P,510.0,64.0,,not on scifinder,,,,,
P(m-CF3-Ph)2(diPh),1185.0,FC(F)(F)c1cccc(P(c2ccc(-c3ccccc3)cc2)c2cccc(C(F)(F)F)c2)c1,FC(F)(F)c1cccc(P(c2ccc(-c3ccccc3)cc2)c2cccc(C(F)(F)F)c2)c1,C26H17F6P,474.0,50.0,,not on scifinder,,,,,
P(O-(2-4-tBu2-Ph))2(Nap),1186.0,CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c2ccc3ccccc3c2)c(C(C)(C)C)c1,CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c2ccc3ccccc3c2)c(C(C)(C)C)c1,C38H49O2P,569.0,90.0,,133000-08-5,,,,,
P(4-TMS-Ph)2(3-5-di-CF3-Ph),1187.0,C[Si](C)(C)c1ccc(P(c2ccc([Si](C)(C)C)cc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,C[Si](C)(C)c1ccc(P(c2ccc([Si](C)(C)C)cc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1,C26H29F6PSi2,543.0,64.0,,not on scifinder,,,,,
P(Nap)2(4-CN-Ph),1188.0,N#Cc1ccc(P(c2ccc3ccccc3c2)c2ccc3ccccc3c2)cc1,N#Cc1ccc(P(c2ccc3ccccc3c2)c2ccc3ccccc3c2)cc1,C27H18NP,387.0,47.0,,not on scifinder,,,,,
P(3-F-Ph)2(4-carb-Ph),1189.0,Fc1cccc(P(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2cccc(F)c2)c1,Fc1cccc(P(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2cccc(F)c2)c1,C30H20F2NP,463.0,54.0,,not on scifinder,,,,,
P(NiPr2)2(2-(2-4-6-iPr3-Ph)-Ph),1190.0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(N(C(C)C)C(C)C)N(C(C)C)C(C)C)c(C(C)C)c1,CC(C)c1cc(C(C)C)c(-c2ccccc2P(N(C(C)C)C(C)C)N(C(C)C)C(C)C)c(C(C)C)c1,C33H55N2P,511.0,91.0,,not on scifinder,,,,,
P(1S2S5R-neomen)2(2-OMe-6-NMePh-Ph),1191.0,COc1cccc(N(C)c2ccccc2)c1P([C@H]1C[C@H](C)CC[C@H]1C(C)C)[C@H]1C[C@H](C)CC[C@H]1C(C)C,COc1cccc(N(C)c2ccccc2)c1P([C@H]1C[C@H](C)CC[C@H]1C(C)C)[C@H]1C[C@H](C)CC[C@H]1C(C)C,C34H52NOP,522.0,89.0,,not on scifinder,,,,,
P(hetero-sBu)2(2-5-OMe2-6-(2-6-NMe2-Ph)-Ph),1192.0,CC[C@H](C)P(c1c(OC)ccc(OC)c1-c1c(N(C)C)cccc1N(C)C)[C@H](C)CC,P(c1c(c2c(N(C)C)cccc2N(C)C)c(OC)ccc1OC)([C@H](C)(CC))([C@@H](C)(CC)),C26H41N2O2P,445.0,72.0,,not on scifinder,,,,,
P(homo-sBu)2(2-5-OMe2-6-(2-6-NMe2-Ph)-Ph),1193.0,CC[C@@H](C)P(c1c(OC)ccc(OC)c1-c1c(N(C)C)cccc1N(C)C)[C@H](C)CC,P(c1c(c2c(N(C)C)cccc2N(C)C)c(OC)ccc1OC)([C@H](C)(CC))([C@H](C)(CC)),C26H41N2O2P,445.0,72.0,,not on scifinder,,,,,
P(hetero-sBu)2(2-5-OMe2-6-(2-6-OiPr2-Ph)-Ph),1194.0,CC[C@H](C)P(c1c(OC)ccc(OC)c1-c1c(OC(C)C)cccc1OC(C)C)[C@H](C)CC,P(c1c(c2c(OC(C)C)cccc2OC(C)C)c(OC)ccc1OC)([C@H](C)(CC))([C@@H](C)(CC)),C28H43O4P,475.0,76.0,,not on scifinder,,,,,
P(homo-sBu)2(2-5-OMe2-6-(2-6-OiPr2-Ph)-Ph),1195.0,CC[C@@H](C)P(c1c(OC)ccc(OC)c1-c1c(OC(C)C)cccc1OC(C)C)[C@H](C)CC,P(c1c(c2c(OC(C)C)cccc2OC(C)C)c(OC)ccc1OC)([C@H](C)(CC))([C@H](C)(CC)),C28H43O4P,475.0,76.0,,not on scifinder,,,,,
P(2-4-6-OMe3-Ph)2(CH2-(2-CH2-2-6-OMe2-Ph)-Ph),1196.0,COc1cc(OC)c(P(Cc2ccccc2Cc2c(OC)cccc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1,COc1cc(OC)c(P(Cc2ccccc2Cc2c(OC)cccc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1,C34H39O8P,607.0,82.0,,not on scifinder,,,,,
P(2-6-OiPr2-Ph)2(CiPr2),1197.0,CC(C)Oc1cccc(OC(C)C)c1P(c1c(OC(C)C)cccc1OC(C)C)C(C(C)C)C(C)C,CC(C)Oc1cccc(OC(C)C)c1P(c1c(OC(C)C)cccc1OC(C)C)C(C(C)C)C(C)C,C31H49O4P,517.0,85.0,,not on scifinder,,,,,
Cy Dihydrophosphapentacene,1198.0,c1ccc2cc3c(cc2c1)Cc1cc2ccccc2cc1P3C1CCCCC1,C12=CC3=C(P(C4=C(C=C5C(C=CC=C5)=C4)C3)C6CCCCC6)C=C1C=CC=C2,C27H25P,380.0,53.0,,not on scifinder,,,,,
Me4 Mesitylnaphtho Phosphabarrelane,1199.0,Cc1cc(C)c(-c2cccc3cc4c(cc23)P2C(C)(C)CC4CC2(C)C)c(C)c1,CC1=CC(C)=CC(C)=C1C2=CC=CC(C2=C3)=CC4=C3P5C(C)(C)CC4CC5(C)C,C28H33P,401.0,62.0,,not on scifinder,,,,,
Cy Mesityl dibenzophosphindole,1200.0,Cc1cc(C)c(-c2cccc3cc4c5ccccc5p(C5CCCCC5)c4cc23)c(C)c1,CC1=CC(C)=CC(C)=C1C2=CC=CC(C2=C3)=CC4=C3P(C5CCCCC5)C6=C4C=CC=C6,C31H31P,435.0,63.0,,not on scifinder,,,,,
"Cy 4,8 Mes2 Dihydrodibenzophosphepine",1201.0,Cc1cc(C)cc(c1c1cccc2c1CP(Cc1c2cccc1c1c(C)cc(cc1C)C)C1CCCCC1)C,CC1=CC(C)=CC(C)=C1C2=CC=CC3=C2CP(C4CCCCC4)CC5=C3C=CC=C5C6=C(C)C=C(C)C=C6C,C38H43P,531.0,82.0,,not on scifinder,,,,,
"iPr 4,8 Mes2 Dihydrodibenzophosphepine",1202.0,CC(P1Cc2c(c3c(C1)c(ccc3)c1c(C)cc(cc1C)C)cccc2c1c(C)cc(cc1C)C)C,CC1=CC(C)=CC(C)=C1C2=CC=CC3=C2CP(C(C)C)CC4=C3C=CC=C4C5=C(C)C=C(C)C=C5C,C35H39P,491.0,75.0,,not on scifinder,,,,,
Cy Mes2 Dihydrophosphapentacene,1203.0,Cc1cc(C)c(-c2cccc3cc4c(cc23)P(C2CCCCC2)c2cc3c(-c5c(C)cc(C)cc5C)cccc3cc2C4)c(C)c1,CC1=CC(C)=CC(C)=C1C2=CC=CC(C2=C3)=CC4=C3P(C5CCCCC5)C6=C(C4)C=C7C(C(C8=C(C)C=C(C)C=C8C)=CC=C7)=C6,C45H45P,617.0,91.0,,not on scifinder,,,,,
PCy(3-Ph-Ph)2,1204.0,c1ccc(-c2cccc(P(c3cccc(-c4ccccc4)c3)C3CCCCC3)c2)cc1,C1(P(C2=CC(C3=CC=CC=C3)=CC=C2)C4=CC=CC(C5=CC=CC=C5)=C4)CCCCC1,C30H29P,421.0,60.0,,not on scifinder,,,,,
PCy(4-Ph-Ph)2,1205.0,c1ccc(-c2ccc(P(c3ccc(-c4ccccc4)cc3)C3CCCCC3)cc2)cc1,C1(P(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC=C(C5=CC=CC=C5)C=C4)CCCCC1,C30H29P,421.0,60.0,,1242022-04-3,,,,,
"P(3,5-(CF3)2Ph)2 (3,5-iPr2Ph)",1206.0,CC(C)c1cc(C(C)C)cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,CC(c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc(C(C)C)c1)C,C28H23F12P,618.0,64.0,,not on scifinder,,,,,
"P(3,5-CN2Ph)2 (3,5-iPr2Ph)",1207.0,CC(C)c1cc(C(C)C)cc(P(c2ccc(C#N)cc2)c2ccc(C#N)cc2)c1,CC(c1cc(P(c2ccc(C#N)cc2)c3ccc(C#N)cc3)cc(C(C)C)c1)C,C26H25N2P,396.0,54.0,,not on scifinder,,,,,
P(3-(CF3)Ph)2 (4-NMe2Ph),1208.0,CN(C)c1ccc(P(c2cccc(C(F)(F)F)c2)c2cccc(C(F)(F)F)c2)cc1,FC(c1cc(P(c2cccc(C(F)(F)F)c2)c3ccc(N(C)C)cc3)ccc1)(F)F,C22H18F6NP,441.0,48.0,,not on scifinder,,,,,
"P(3,5-F2Ph)2 (4-NMe2Ph)",1209.0,CN(C)c1ccc(P(c2cc(F)cc(F)c2)c2cc(F)cc(F)c2)cc1,Fc1cc(P(c2cc(F)cc(F)c2)c3ccc(N(C)C)cc3)cc(F)c1,C20H16F4NP,377.0,42.0,,not on scifinder,,,,,
"P(4ClPh)2(2,6-OMe-Ph)",1210.0,COc1cccc(OC)c1P(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Clc1ccc(P(C2=CC=C(Cl)C=C2)c3c(OC)cccc3OC)cc1,C20H17Cl2O2P,391.0,42.0,,not on scifinder,,,,,
"P(4FPh)2(2,6-OMe-Ph)",1211.0,COc1cccc(OC)c1P(c1ccc(F)cc1)c1ccc(F)cc1,Fc1ccc(P(C2=CC=C(F)C=C2)c3c(OC)cccc3OC)cc1,C20H17F2O2P,358.0,42.0,,not on scifinder,,,,,
P(4EtPh)2O(2tBuPh),1212.0,CCc1ccc(P(Oc2ccccc2C(C)(C)C)c2ccc(CC)cc2)cc1,CC(C)(C)c1c(OP(c2ccc(CC)cc2)c3ccc(CC)cc3)cccc1,C26H31OP,390.0,59.0,,not on scifinder,,,,,
P(4OHPh)norbornenyl2 (homo),1213.0,Oc1ccc(P([C@H]2C[C@H]3C=C[C@@H]2C3)[C@@H]2C[C@H]3C=C[C@@H]2C3)cc1,Oc1ccc(P([C@H]2C[C@H]3C=C[C@@H]2C3)[C@@H]4C[C@H]5C=C[C@@H]4C5)cc1,C20H23OP,310.0,45.0,,not on scifinder,,,,,
"P(3,4Me2Ph)2(2Ac-acetal-Ph)",1214.0,Cc1ccc(P(c2ccc(C)c(C)c2)c2ccccc2C2(C)OCCO2)cc1C,CC1(OCCO1)c2c(P(c3cc(C)c(C)cc3)c4cc(C)c(C)cc4)cccc2,C26H29O2P,404.0,58.0,,not on scifinder,,,,,
P(4-OMePh)2 CH2CH2CO2Me,1215.0,COC(=O)CCP(c1ccc(OC)cc1)c1ccc(OC)cc1,COC(CCP(c1ccc(OC)cc1)c2ccc(OC)cc2)=O,C18H21O4P,332.0,44.0,,not on scifinder,,,,,
"P(OpTol)2(2,4,6-OMe3-Ph)",1216.0,COc1cc(OC)c(P(Oc2ccc(C)cc2)Oc2ccc(C)cc2)c(OC)c1,COc1cc(OC)c(P(Oc2ccc(C)cc2)Oc3ccc(C)cc3)c(OC)c1,C23H25O5P,412.0,54.0,,not on scifinder,,,,,
P(CH2Cyp)2 CCPh,1217.0,C(#CP(CC1CCCC1)CC1CCCC1)c1ccccc1,P(CC1CCCC1)(CC2CCCC2)C#Cc3ccccc3,C20H27P,298.0,48.0,,not on scifinder,,,,,
