ligand,id,can_smiles,smiles,formula,mw,atomcount,merckid,cas_pr3,cas_pr3_hx,cas_conj_acid,SIGMA STRUCTURE_ID,SIGMA CAT_NO,Fey-LKB (Paper)
HandaPhos,370.0,COc1cccc(OC)c1-c1cccc2c1P(C(C)(C)C)[C@@H](Cc1c(C(C)C)cc(C(C)C)cc1C(C)C)O2,P1([C@H](Oc2c1c(ccc2)c1c(cccc1OC)OC)Cc1c(cc(cc1C(C)C)C(C)C)C(C)C)C(C)(C)C,C35H47O3P,547.0,86.0,,"1908442-13-6 (RR rel, Handa), 1851932-80-3 (SS abs), 1945979-05-4 (RS abs), 1945979-06-5 (SR abs), 1945979-07-6 (RR abs)",,,829200672,,
MorDalPhos,371.0,O1CCN(CC1)c1ccccc1P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,P(C12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2)(C12C[C@@H]3C[C@@H](C[C@@H](C3)C1)C2)c1c(cccc1)N1CCOCC1,C30H42NOP,464.0,75.0,ME100,1237588-12-3,,,"308359035, 497595066, 959437968",,
1062513523,372.0,C[C@]12CO[C@]3(P(c4ccccc4)c4ccccc4)C[C@H]1CC[C@]23C,C[C@@]1(CC[C@@H]2C3)[C@@]2(C)CO[C@@]13P(C4=CC=CC=C4)C5=CC=CC=C5,C22H25OP,336.0,49.0,,not on scifinder,,,1062513523,,
EPhos,373.0,CC(C)Oc1cccc(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C1CCCCC1)C1CCCCC1,P(C1CCCCC1)(C1CCCCC1)c1c(cccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)OC(C)C,C36H55OP,535.0,93.0,,2118959-55-8,,,1064268607,,
PMe2Cy,374.0,CP(C)C1CCCCC1,C1C(CCCC1)P(C)C,C8H17P,144.0,26.0,,58359-87-8,92799-67-2 (HI),,,,
P(3-Thienyl)3,375.0,c1cc(P(c2ccsc2)c2ccsc2)cs1,P(c1cscc1)(c1cscc1)c1cscc1,C12H9PS3,280.0,25.0,,23415-53-4,,,,,
P(3-CF3Ph)3,376.0,FC(F)(F)c1cccc(P(c2cccc(C(F)(F)F)c2)c2cccc(C(F)(F)F)c2)c1,FC(c1cccc(P(c2cccc(C(F)(F)F)c2)c3cc(C(F)(F)F)ccc3)c1)(F)F,C21H12F9P,466.0,43.0,,25688-46-4,,,,,
PPh2(2-thienyl),377.0,c1ccc(P(c2ccccc2)c2cccs2)cc1,P(c3[s]ccc3)(c2ccccc2)c1ccccc1,C16H13PS,268.0,31.0,,61157-16-2,,,29003679,,
PPh(2-thienyl)2,378.0,c1ccc(P(c2cccs2)c2cccs2)cc1,P(c1ccccc1)(c2cccs2)c3cccs3,C14H11PS2,274.0,28.0,,52379-41-6,,,,,
PPh2(2-furyl),379.0,c1ccc(P(c2ccccc2)c2ccco2)cc1,P(c3[o]ccc3)(c2ccccc2)c1ccccc1,C16H13OP,252.0,31.0,,40927-82-0,,,137134029,,
PPh(2-furyl)2,380.0,c1ccc(P(c2ccco2)c2ccco2)cc1,P(c1ccccc1)(c2ccco2)c3ccco3,C14H11O2P,242.0,28.0,,40927-83-1,,,,,
P(3-furyl)3,381.0,c1cc(P(c2ccoc2)c2ccoc2)co1,c1(P(c2ccoc2)c3cocc3)cocc1,C12H9O3P,232.0,25.0,,33829-64-0,,,,,
PPh2(NMe-2pyrrolyl),382.0,Cn1cccc1P(c1ccccc1)c1ccccc1,Cn1cccc1P(c2ccccc2)c3ccccc3,C17H16NP,265.0,35.0,,54828-71-6,,,,,
P(O-4CF3-Ph)3,383.0,FC(F)(F)c1ccc(OP(Oc2ccc(C(F)(F)F)cc2)Oc2ccc(C(F)(F)F)cc2)cc1,FC(c1ccc(OP(Oc2ccc(C(F)(F)F)cc2)Oc3ccc(C(F)(F)F)cc3)cc1)(F)F,C21H12F9O3P,514.0,46.0,,198983-67-4,,,,,
